POS ,Player           ,Mat ,Inns ,NO ,Runs ,HS   ,Avg   ,BF  ,SR     ,100 ,50 ,4s ,6s
  1 ,Jos Buttler      , 17 ,  17 , 2 , 863 ,116  ,57.53 ,579 ,149.05 ,  4 , 4 ,83 ,45
  2 ,K L Rahul        , 15 ,  15 , 3 , 616 ,103* ,51.33 ,455 ,135.38 ,  2 , 4 ,45 ,30
  3 ,Quinton De Kock  , 15 ,  15 , 1 , 508 ,140* ,36.29 ,341 ,148.97 ,  1 , 3 ,47 ,23
  4 ,Hardik Pandya    , 15 ,  15 , 4 , 487 ,87*  ,44.27 ,371 ,131.26 ,  0 , 4 ,49 ,12
  5 ,Shubman Gill     , 16 ,  16 , 2 , 483 ,96   ,34.5  ,365 ,132.32 ,  0 , 4 ,51 ,11
  6 ,David Miller     , 16 ,  16 , 9 , 481 ,94*  ,68.71 ,337 ,142.72 ,  0 , 2 ,32 ,23
  7 ,Faf Du Plessis   , 16 ,  16 , 1 , 468 ,96   ,31.2  ,367 ,127.52 ,  0 , 3 ,49 ,13
  8 ,Shikhar Dhawan   , 14 ,  14 , 2 , 460 ,88*  ,38.33 ,375 ,122.66 ,  0 , 3 ,47 ,12
  9 ,Sanju Samson     , 17 ,  17 , 1 , 458 ,55   ,28.63 ,312 ,146.79 ,  0 , 2 ,43 ,26
 10 ,Deepak Hooda     , 15 ,  14 , 0 , 451 ,59   ,32.21 ,330 ,136.66 ,  0 , 4 ,36 ,18
 11 ,Liam Livingstone , 14 ,  14 , 2 , 437 ,70   ,36.42 ,240 ,182.08 ,  0 , 4 ,29 ,34
 12 ,David Warner     , 12 ,  12 , 3 , 432 ,92*  ,48    ,287 ,150.52 ,  0 , 5 ,52 ,15
 13 ,Abhishek Sharma  , 14 ,  14 , 0 , 426 ,75   ,30.43 ,320 ,133.12 ,  0 , 2 ,47 ,13
 14 ,Ishan Kishan     , 14 ,  14 , 1 , 418 ,81*  ,32.15 ,348 ,120.11 ,  0 , 3 ,45 ,11
 15 ,Rahul Tripathi   , 14 ,  14 , 3 , 413 ,76   ,37.55 ,261 ,158.23 ,  0 , 3 ,40 ,20
 16 ,Shreyas Iyer     , 14 ,  14 , 1 , 401 ,85   ,30.85 ,298 ,134.56 ,  0 , 3 ,41 ,11
 17 ,Tilak Varma      , 14 ,  14 , 3 , 397 ,61   ,36.09 ,303 ,131.02 ,  0 , 2 ,29 ,16
 18 ,Aiden Markram    , 14 ,  12 , 4 , 381 ,68*  ,47.63 ,274 ,139.05 ,  0 , 3 ,25 ,19
 19 ,Devdutt Padikkal , 17 ,  17 , 0 , 376 ,54   ,22.12 ,306 ,122.87 ,  0 , 1 ,40 ,14
 20 ,Ruturaj Gaikwad  , 14 ,  14 , 0 , 368 ,99   ,26.29 ,291 ,126.46 ,  0 , 3 ,33 ,14
